utterance,intent,category,tags,tagalog
I do not know how I could cancel an order,cancel_order,ORDER,BEP,Hindi ko alam kung paano ko maaaring kanselahin ang isang utos
cancel an order I have made,cancel_order,ORDER,B,kanselahin ang utos na ginawa ko
help with cancelling the order I have made,cancel_order,ORDER,B,sa pagkansela sa utos na ginawa ko
I can't pay for the order I have made,cancel_order,ORDER,B,Hindi ko mabayaran ang utos na ginawa ko
I can't pay for the order,cancel_order,ORDER,B,Hindi ko mabayaran ang utos
I need help cancelling an order I made,cancel_order,ORDER,B,Kailangan ko ng tulong upang kanselahin ang isang utos na ginawa ko
would you give me information about canceling orders?,cancel_order,ORDER,BIMP,Bibigyan mo ba ako ng impormasyon tungkol sa pagkansela ng mga utos?
help me canceling the last order I have made,cancel_order,ORDER,B,ay tumutulong sa akin na kanselahin ang huling utos na ginawa ko
I am looking for information about order cancelations,cancel_order,ORDER,BEM,Hinahanap ko ang impormasyon tungkol sa mga pagkansela ng order
I don't know how I can cancel the last order I have made,cancel_order,ORDER,B,Hindi ko alam kung paano ko maaaring kanselahin ang huling utos na ginawa ko
how could I cancel the last order I have made?,cancel_order,ORDER,BIP,paano ko maaaring kanselahin ang huling utos na ginawa ko?
is it possible to cancel my order?,cancel_order,ORDER,BI,Posible kayang kanselahin ang aking utos?
help cancelling the last order I have made,cancel_order,ORDER,B,ay nagpapawalang - bisa sa huling utos na ginawa ko
I have a question about canceling orders,cancel_order,ORDER,BM,May tanong ako tungkol sa pagkansela ng mga order
how to cancel the last order I have made?,cancel_order,ORDER,BI,kung paano kanselahin ang huling utos na ginawa ko?
I don't want an order I have made,cancel_order,ORDER,B,Ayaw ko ng utos na ginawa ko
I have a question about cancelling my order,cancel_order,ORDER,B,May tanong ako tungkol sa pagpapawalang - bisa sa aking utos
how could I cancel an order I made?,cancel_order,ORDER,BIP,Paano ko makansela ang utos na ginawa ko?
I want help cancelling an order I have made,cancel_order,ORDER,B,Nais ko ng tulong upang kanselahin ang isang utos na ginawa ko
I have problems with cancelling the order I have made,cancel_order,ORDER,BM,May problema ako sa pagpapawalang - bisa sa utos na ginawa ko
how do I cancel my order?,cancel_order,ORDER,BI,paano ko pinawawalang - bisa ang aking utos?
could you help me to cancel my last order?,cancel_order,ORDER,BIP,Matutulungan mo ba akong kanselahin ang aking huling utos?
can you help me cancel my last order?,cancel_order,ORDER,BI,Matutulungan mo ba akong kanselahin ang aking huling utos?
I do not want to pay for an order I made,cancel_order,ORDER,BE,Ayaw kong magbayad para sa isang utos na ginawa ko
assistance cancelling the last order,cancel_order,ORDER,B,ang tulong na nagpapawalang - bisa sa huling order
assistance cancelling an order I made,cancel_order,ORDER,B,pagtulong sa pagpapawalang - bisa sa utos na ginawa ko
help with canceling the order I have made,cancel_order,ORDER,B,sa pagkansela sa utos na ginawa ko
would you give me information about order cancelations?,cancel_order,ORDER,BIMP,Bibigyan mo ba ako ng impormasyon tungkol sa mga pagkansela ng order?
where could I cancel the last order?,cancel_order,ORDER,BIP,Saan ko maaaring kanselahin ang huling utos?
I need help to cancel the last order I have made,cancel_order,ORDER,B,Kailangan ko ng tulong upang kanselahin ang huling utos na ginawa ko
will you give me information about canceling an order?,cancel_order,ORDER,BIP,Bibigyan mo ba ako ng impormasyon tungkol sa pagkansela ng isang utos?
how can I cancel an order I made?,cancel_order,ORDER,BI,Paano ko makansela ang utos na ginawa ko?
can you help me cancelling the order I made?,cancel_order,ORDER,BI,Matutulungan mo ba akong kanselahin ang utos na ginawa ko?
how can I find information about canceling orders?,cancel_order,ORDER,BIM,paano ako makasusumpong ng impormasyon tungkol sa pagkansela ng mga utos?
I have problems with cancelling an order I have made,cancel_order,ORDER,BM,May problema ako sa pagkansela ng isang utos na ginawa ko
help with canceling the order I made,cancel_order,ORDER,B,sa pagkansela sa utos na ginawa ko
I can't pay for the last order I have made,cancel_order,ORDER,B,Hindi ko mabayaran ang huling order na ginawa ko
assistance with cancelling the order I have made,cancel_order,ORDER,B,sa pagkansela sa utos na ginawa ko
help to cancel an order I made,cancel_order,ORDER,B,upang kanselahin ang isang utos na ginawa ko
question about canceling my orders,cancel_order,ORDER,BM,tungkol sa pagkansela sa aking mga utos
I have a problem with cancelling my last order,cancel_order,ORDER,B,May problema ako sa pagpapawalang - bisa sa aking huling utos
I need help canceling my order,cancel_order,ORDER,B,Kailangan ko ng tulong upang mapawalang - bisa ang aking utos
where could I cancel an order I made?,cancel_order,ORDER,BIP,Saan ko maaaring kanselahin ang isang utos na ginawa ko?
assistance cancelling the last order I made,cancel_order,ORDER,B,Nakansela ng tulong ang huling utos na ginawa ko
could you give me information about cancelling orders?,cancel_order,ORDER,BIMP,Maaari mo ba akong bigyan ng impormasyon tungkol sa pagkansela ng mga utos?
could you help me canceling the order I have made?,cancel_order,ORDER,BIP,Matutulungan mo ba akong kanselahin ang utos na ginawa ko?
assistance cancelling the order I made,cancel_order,ORDER,B,pagtulong sa pagpapawalang - bisa sa utos na ginawa ko
help with canceling an order I made,cancel_order,ORDER,B,sa pagkansela ng isang utos na ginawa ko
will you give me information about order cancelations?,cancel_order,ORDER,BIMP,Bibigyan mo ba ako ng impormasyon tungkol sa mga pagkansela ng order?
how do I cancel the last order I made?,cancel_order,ORDER,BI,paano ko makansela ang huling utos na ginawa ko?
I want help canceling the order I have made,cancel_order,ORDER,B,Nais ko ng tulong upang kanselahin ang utos na ginawa ko
problems with cancelling the order I made,cancel_order,ORDER,BM,sa pagpapawalang - bisa sa utos na ginawa ko
I need help to cancel an order,cancel_order,ORDER,B,Kailangan ko ng tulong upang kanselahin ang isang utos
could you help me cancelling the order I made?,cancel_order,ORDER,BIP,Matutulungan mo ba akong kanselahin ang utos na ginawa ko?
I would like information about canceling an order,cancel_order,ORDER,BP,Nais ko ng impormasyon tungkol sa pagkansela ng isang utos
I want information about cancelling orders,cancel_order,ORDER,BM,Gusto ko ng impormasyon tungkol sa pagkansela ng mga order
I need assistance to cancel an order,cancel_order,ORDER,B,Kailangan ko ng tulong upang kanselahin ang isang utos
I don't know how I can cancel the last order,cancel_order,ORDER,B,Hindi ko alam kung paano ko maaaring kanselahin ang huling order
I am trying to cancel the last order,cancel_order,ORDER,B,Sinisikap kong kanselahin ang huling order
I have problems with cancelling an order,cancel_order,ORDER,BM,May problema ako sa pagkansela ng isang utos
I need assistance with canceling the last order I have made,cancel_order,ORDER,B,Kailangan ko ng tulong sa pagkansela sa huling utos na ginawa ko
I do not want the order,cancel_order,ORDER,BE,Ayaw ko ng order
I would like to cancel my last order,cancel_order,ORDER,BP,Nais kong kanselahin ang aking huling utos
help to cancel the order I made,cancel_order,ORDER,B,upang kanselahin ang utos na ginawa ko
help me canceling the order I made,cancel_order,ORDER,B,ay tumutulong sa akin na kanselahin ang utos na ginawa ko
I don't know how to cancel an order,cancel_order,ORDER,B,Hindi ko alam kung paano kanselahin ang isang utos
I have got to cancel an order,cancel_order,ORDER,B,Kailangan kong kanselahin ang isang utos
I have problems with canceling an order I have made,cancel_order,ORDER,BM,May problema ako sa pagkansela ng isang utos na ginawa ko
canceling order,cancel_order,ORDER,BK,Kinakansela ang order
I am trying to find information about cancelling an order,cancel_order,ORDER,BE,Sinisikap kong hanapin ang impormasyon tungkol sa pagkansela ng isang utos
I have a problem with canceling the last order I have made,cancel_order,ORDER,B,May problema ako sa pagpapawalang - bisa sa huling utos na ginawa ko
help me canceling my order,cancel_order,ORDER,B,ay tumutulong sa akin na kanselahin ang aking utos
can you tell me about order cancellations?,cancel_order,ORDER,BIM,masasabi mo ba sa akin ang tungkol sa mga pagpapawalang - bisa sa pagkakasunud - sunod?
I need help with canceling the order I have made,cancel_order,ORDER,B,Kailangan ko ng tulong sa pagkansela sa utos na ginawa ko
tell me about order cancelations,cancel_order,ORDER,BM,sabihin mo sa akin ang tungkol sa mga pagkansela ng order
how could I find information about order cancellations?,cancel_order,ORDER,BIMP,paano ako makasusumpong ng impormasyon tungkol sa mga pagkansela ng pagkakasunud - sunod?
I need help to cancel my order,cancel_order,ORDER,B,Kailangan ko ng tulong upang kanselahin ang aking utos
help me cancelling an order I made,cancel_order,ORDER,B,ay tumutulong sa akin na kanselahin ang isang utos na ginawa ko
I am trying to cancel an order I made,cancel_order,ORDER,B,Sinisikap kong kanselahin ang utos na ginawa ko
I don't know how I can cancel the last order I made,cancel_order,ORDER,B,Hindi ko alam kung paano ko maaaring kanselahin ang huling utos na ginawa ko
could you help me cancelling the last order?,cancel_order,ORDER,BIP,Matutulungan mo ba akong kanselahin ang huling utos?
how could I cancel an order?,cancel_order,ORDER,BIP,paano ko maaaring kanselahin ang isang utos?
help me canceling the last order I made,cancel_order,ORDER,B,ay tumutulong sa akin na kanselahin ang huling utos na ginawa ko
help with cancelling my last order,cancel_order,ORDER,B,sa pagkansela ng aking huling order
I cannot pay for my last order,cancel_order,ORDER,BE,Hindi ko mabayaran ang aking huling utos
I do not know how I could cancel the last order I made,cancel_order,ORDER,BEP,Hindi ko alam kung paano ko maaaring kanselahin ang huling utos na ginawa ko
I want to know more about order cancellations,cancel_order,ORDER,BM,Gusto kong malaman ang higit pa tungkol sa mga pagpapawalang - bisa sa pagkakasunud - sunod
question about cancelling my last order,cancel_order,ORDER,B,tungkol sa pagkansela sa aking huling order
I have problems with cancelling the last order I have made,cancel_order,ORDER,BM,May problema ako sa pagpapawalang - bisa sa huling utos na ginawa ko
how to cancel an order?,cancel_order,ORDER,BI,kung paano kanselahin ang isang utos?
could you help me to cancel an order?,cancel_order,ORDER,BIP,Matutulungan mo ba akong kanselahin ang isang utos?
I don't know how I can cancel an order I have made,cancel_order,ORDER,B,Hindi ko alam kung paano ko maaaring kanselahin ang isang utos na ginawa ko
is it possible to cancel the order I have made?,cancel_order,ORDER,BI,Posible kayang kanselahin ang utos na ginawa ko?
I need help canceling the order I have made,cancel_order,ORDER,B,Kailangan ko ng tulong upang kanselahin ang utos na ginawa ko
I need help with cancelling my order,cancel_order,ORDER,B,Kailangan ko ng tulong sa pagpapawalang - bisa sa aking utos
help me cancel the last order I made,cancel_order,ORDER,B,ay tutulong sa akin na kanselahin ang huling utos na ginawa ko
can you give me information about canceling an order?,cancel_order,ORDER,BI,Makapagbibigay ka ba sa akin ng impormasyon tungkol sa pagkansela ng isang utos?
help to cancel an order I have made,cancel_order,ORDER,B,upang kanselahin ang isang utos na ginawa ko
question about cancelling an order I have made,cancel_order,ORDER,B,tungkol sa pagkansela sa isang utos na ginawa ko
I do not know how I can cancel an order I have made,cancel_order,ORDER,BE,Hindi ko alam kung paano ko maaaring kanselahin ang isang utos na ginawa ko
question about cancelling orders,cancel_order,ORDER,BM,tungkol sa pagkansela ng mga utos
I do not know how I can cancel the last order I made,cancel_order,ORDER,BE,Hindi ko alam kung paano ko maaaring kanselahin ang huling utos na ginawa ko
I have problems with canceling the last order I have made,cancel_order,ORDER,BM,May problema ako sa pagpapawalang - bisa sa huling utos na ginawa ko
find information about cancelling an order,cancel_order,ORDER,B,hinggil sa pagkansela ng utos
help me cancelling the last order I have made,cancel_order,ORDER,B,ay tumutulong sa akin na kanselahin ang huling utos na ginawa ko
where could I get information about order cancellations?,cancel_order,ORDER,BIMP,Saan ako makakakuha ng impormasyon tungkol sa mga pagpapawalang - bisa sa pagkakasunud - sunod?
question about canceling my last order,cancel_order,ORDER,B,tungkol sa pagkansela sa aking huling order
can you help me canceling the last order?,cancel_order,ORDER,BI,Matutulungan mo ba akong kanselahin ang huling utos?
tell me more about order cancelations,cancel_order,ORDER,BM,sabihin pa sa akin ang tungkol sa mga pagkansela ng order
I need assistance with canceling my last order,cancel_order,ORDER,B,Kailangan ko ng tulong sa pagkansela ng aking huling utos
I need assistance with cancelling an order,cancel_order,ORDER,B,Kailangan ko ng tulong sa pagkansela ng isang utos
how to cancel the last order I made?,cancel_order,ORDER,BI,kung paano kanselahin ang huling utos na ginawa ko?
I would like to cancel the last order,cancel_order,ORDER,BP,Nais kong kanselahin ang huling order
question about canceling the last order I made,cancel_order,ORDER,B,tungkol sa pagkansela sa huling utos na ginawa ko
I do not want to pay for my last order,cancel_order,ORDER,BE,Ayaw kong bayaran ang aking huling utos
I do not want to pay for the last order I have made,cancel_order,ORDER,BE,Ayaw kong bayaran ang huling utos na ginawa ko
how do I cancel an order I made?,cancel_order,ORDER,BI,Paano ko pinawawalang - bisa ang isang utos na ginawa ko?
I need assistance cancelling an order I made,cancel_order,ORDER,B,Kailangan ko ng tulong upang kanselahin ang isang utos na ginawa ko
I have got to cancel the last order I made,cancel_order,ORDER,B,Napawalang - bisa ko ang huling utos na ginawa ko
I have got to cancel my order,cancel_order,ORDER,B,Kinakansela ko ang aking utos
problem with canceling my last order,cancel_order,ORDER,B,problema sa pagkansela ng aking huling order
how to cancel my order?,cancel_order,ORDER,BI,kung paano ko ipakansela ang aking utos?
can you help me canceling the order I made?,cancel_order,ORDER,BI,Matutulungan mo ba akong kanselahin ang utos na ginawa ko?
I want to know about order cancellations,cancel_order,ORDER,BM,Gusto kong malaman ang tungkol sa mga pagkansela ng order
I want to cancel the order I made,cancel_order,ORDER,B,Nais kong kanselahin ang utos na ginawa ko
could you help me canceling an order I have made?,cancel_order,ORDER,BIP,Matutulungan mo ba akong kanselahin ang isang utos na ginawa ko?
could you tell me more about order cancellations?,cancel_order,ORDER,BIMP,Maaari mo bang sabihin sa akin ang higit pa tungkol sa mga pagpapawalang - bisa sa utos?
can you help me canceling my last order?,cancel_order,ORDER,BI,Matutulungan mo ba akong kanselahin ang aking huling utos?
I need help canceling the last order,cancel_order,ORDER,B,Kailangan ko ng tulong upang makansela ang huling order
I don't know how I could cancel the order I made,cancel_order,ORDER,BP,Hindi ko alam kung paano ko maaaring kanselahin ang utos na ginawa ko
I have to cancel an order I have made,cancel_order,ORDER,B,Kailangan kong kanselahin ang utos na ginawa ko
question about canceling an order,cancel_order,ORDER,B,tungkol sa pagkansela ng isang utos
help me canceling an order I made,cancel_order,ORDER,B,ay tumutulong sa akin na kanselahin ang isang utos na ginawa ko
question about canceling orders,cancel_order,ORDER,BM,tungkol sa pagkansela ng mga utos
I do not know how I could cancel my last order,cancel_order,ORDER,BEP,Hindi ko alam kung paano ko maaaring kanselahin ang aking huling order
I have a problem with cancelling my order,cancel_order,ORDER,B,May problema ako sa pagpapawalang - bisa sa aking utos
how could I get information about order cancelations?,cancel_order,ORDER,BIMP,paano ako makakakuha ng impormasyon tungkol sa mga pagkansela ng order?
can you help me cancel the last order?,cancel_order,ORDER,BI,Matutulungan mo ba akong kanselahin ang huling order?
I need help with cancelling the order I made,cancel_order,ORDER,B,Kailangan ko ng tulong sa pagkansela sa utos na ginawa ko
help me cancel the order I made,cancel_order,ORDER,B,ay tumulong sa akin na kanselahin ang utos na ginawa ko
I can't pay for my last order,cancel_order,ORDER,B,Hindi ko mabayaran ang aking huling utos
I do not know how to cancel the last order I have made,cancel_order,ORDER,BE,Hindi ko alam kung paano kanselahin ang huling utos na ginawa ko
could you help me cancel the order I have made?,cancel_order,ORDER,BIP,Matutulungan mo ba akong kanselahin ang utos na ginawa ko?
I don't want the order I have made,cancel_order,ORDER,B,Ayaw ko ng utos na ginawa ko
help canceling my last order,cancel_order,ORDER,B,ay nagkansela ng aking huling utos
where to cancel an order I made?,cancel_order,ORDER,BI,kung saan ko dapat kanselahin ang utos na ginawa ko?
I have a problem with canceling the last order I made,cancel_order,ORDER,B,May problema ako sa pagpapawalang - bisa sa huling utos na ginawa ko
problems with canceling my orders,cancel_order,ORDER,BM,problema sa pagkansela ng aking mga utos
I need assistance with cancelling the order I made,cancel_order,ORDER,B,Kailangan ko ng tulong sa pagpapawalang - bisa sa utos na ginawa ko
I want assistance to cancel my order,cancel_order,ORDER,B,Nais ko ng tulong upang kanselahin ang aking utos
I don't know how to cancel an order I have made,cancel_order,ORDER,B,Hindi ko alam kung paano kanselahin ang isang utos na ginawa ko
where can I cancel the order I have made?,cancel_order,ORDER,BI,saan ko maaaring kanselahin ang utos na ginawa ko?
I need assistance with cancelling the last order,cancel_order,ORDER,B,Kailangan ko ng tulong sa pagkansela ng huling order
assistance canceling my last order,cancel_order,ORDER,B,pagkansela ng aking huling utos
order cancellation,cancel_order,ORDER,BK,pinawalang - bisa ang kaayusan
I have a problem with canceling an order,cancel_order,ORDER,B,May problema ako sa pagkansela ng isang utos
I need assistance cancelling an order,cancel_order,ORDER,B,Kailangan ko ng tulong upang mapawalang - bisa ang isang utos
I have a problem with canceling the order I have made,cancel_order,ORDER,B,May problema ako sa pagpapawalang - bisa sa utos na ginawa ko
can you help me to cancel my order?,cancel_order,ORDER,BI,Matutulungan mo ba akong kanselahin ang utos ko?
I need help with cancelling an order,cancel_order,ORDER,B,Kailangan ko ng tulong sa pagkansela ng isang utos
could you help me cancel an order?,cancel_order,ORDER,BIP,Matutulungan mo ba akong kanselahin ang isang utos?
can you help me cancelling my order?,cancel_order,ORDER,BI,Matutulungan mo ba akong kanselahin ang aking utos?
help with cancelling the last order I have made,cancel_order,ORDER,B,sa pagpapawalang - bisa sa huling utos na ginawa ko
how can I cancel an order I have made?,cancel_order,ORDER,BI,Paano ko maaaring kanselahin ang isang utos na ginawa ko?
problems with canceling the order I made,cancel_order,ORDER,BM,problema sa pagkansela sa utos na ginawa ko
I don't want to pay for the last order I have made,cancel_order,ORDER,B,Ayaw kong bayaran ang huling order na ginawa ko
I need assistance with canceling the last order,cancel_order,ORDER,B,Kailangan ko ng tulong sa pagkansela ng huling order
how can I cancel an order?,cancel_order,ORDER,BI,paano ko maaaring kanselahin ang isang utos?
help to cancel my order,cancel_order,ORDER,B,upang kanselahin ang aking utos
I have got to cancel the order I have made,cancel_order,ORDER,B,Kailangan kong kanselahin ang utos na ginawa ko
I do not know how I could cancel the order I have made,cancel_order,ORDER,BEP,Hindi ko alam kung paano ko maaaring kanselahin ang utos na ginawa ko
I need help canceling the last order I have made,cancel_order,ORDER,B,Kailangan ko ng tulong upang kanselahin ang huling utos na ginawa ko
I have a question about canceling the last order I made,cancel_order,ORDER,B,May tanong ako tungkol sa pagkansela sa huling utos na ginawa ko
I am trying to find information about canceling an order,cancel_order,ORDER,BE,Sinisikap kong hanapin ang impormasyon tungkol sa pagkansela ng isang utos
would you give me information about order cancellations?,cancel_order,ORDER,BIMP,Bibigyan mo ba ako ng impormasyon tungkol sa mga pagkansela ng order?
is it possible to cancel the last order I made?,cancel_order,ORDER,BI,Posible kayang kanselahin ang huling utos na ginawa ko?
I try to cancel the last order I have made,cancel_order,ORDER,B,Sinisikap kong kanselahin ang huling utos na ginawa ko
problems with adding an item to an order,change_order,ORDER,BM,problema sa pagdaragdag ng isang bagay sa isang order
I don't know how I can add an item,change_order,ORDER,B,Hindi ko alam kung paano ako makapagdaragdag ng isang bagay
I have a question about changing my orders,change_order,ORDER,BM,May tanong ako tungkol sa pagbabago ng aking mga utos
how can I change something of an order?,change_order,ORDER,BI,paano ko mababago ang isang bagay sa isang orden?
I want help changing the order I made,change_order,ORDER,B,Nais ko pong tulungan ako na baguhin ang kaayusan na ginawa ko
adding product to last order,change_order,ORDER,BK,pagdagdag ng produkto sa huling pagkakasunud-sunod
I need help adding several items,change_order,ORDER,BM,Kailangan ko ng tulong sa pagdaragdag ng ilang bagay
I am trying to change my last order,change_order,ORDER,B,Sinisikap kong baguhin ang aking huling order
help me change something of an order,change_order,ORDER,B,ay nakatulong sa akin na baguhin ang isang bagay sa kaayusan
is it possible to change an order I have made?,change_order,ORDER,BI,posible kayang baguhin ang isang utos na ginawa ko?
I try to change several items of an order,change_order,ORDER,BM,Sinisikap kong baguhin ang ilang bagay ng isang order
I want assistance to change an order I have made,change_order,ORDER,B,Nais ko ng tulong upang baguhin ang isang utos na ginawa ko
could you help me change my order?,change_order,ORDER,BIP,Matutulungan mo ba akong baguhin ang aking utos?
I have forgotten to include an item,change_order,ORDER,B,Nakalimutan ko nang isama ang isang bagay
I have to change my order,change_order,ORDER,B,Kailangan kong baguhin ang aking utos
I have a problem with changing some items of an order,change_order,ORDER,BM,Problema ko ang pagpapalit ng ilang bagay ng isang order
I want to change something of an order,change_order,ORDER,B,Nais kong baguhin ang isang bagay ng isang utos
I have got to remove something,change_order,ORDER,B,Kailangan kong alisin ang isang bagay
question about changing an order,change_order,ORDER,B,tungkol sa pagbabago ng isang order
I have to remove several items from an order,change_order,ORDER,BM,Kailangan kong alisin ang ilang bagay sa isang order
how can I remove several items from an order?,change_order,ORDER,BIM,paano ko maaalis ang ilang bagay mula sa isang orden?
I want assistance to change an item of an order,change_order,ORDER,B,Nais ko ng tulong upang baguhin ang isang bagay ng isang utos
