utterance,intent,category,tags,tagalog,similarity,needs_review,human_corrected_tagalog
I need assistance with canceling the order I have made,cancel_order,ORDER,B,Kailangan ko ng tulong sa pagkansela sa utos na ginawa ko,0.5313938856124878,True,
assistance canceling the order I have made,cancel_order,ORDER,B,pagkansela sa utos na ginawa ko,0.4999656081199646,True,
question about cancelling the last order,cancel_order,ORDER,B,tungkol sa pagkansela sa huling order,0.8773269653320312,False,
help me to cancel my last order,cancel_order,ORDER,B,ay tumutulong sa akin na kanselahin ang aking huling utos,0.6403623819351196,True,
problem with cancelling orders,cancel_order,ORDER,BM,problema sa pagkansela ng mga order,0.9179219603538512,False,
problems with cancelling an order,cancel_order,ORDER,BM,problema sa pagkansela ng isang utos,0.7328618764877319,False,
assistance with cancelling the order I made,cancel_order,ORDER,B,sa pagkansela sa utos na ginawa ko,0.4842813313007355,True,
I need help with cancelling an order I have made,cancel_order,ORDER,B,Kailangan ko ng tulong sa pagkansela ng isang utos na ginawa ko,0.5019510984420776,True,
I have problems with cancelling my order,cancel_order,ORDER,BM,May problema ako sa pagpapawalang - bisa sa aking utos,0.2892036437988281,True,
I do not want to pay for the order I made,cancel_order,ORDER,BE,Ayaw kong bayaran ang utos na ginawa ko,0.6870012283325195,True,
I have a problem with cancelling orders,cancel_order,ORDER,BM,Problema ko ang pagkansela ng mga order,0.848878026008606,False,
problems with canceling orders,cancel_order,ORDER,BM,problema sa pagkansela ng mga order,0.9066813588142396,False,
where can I get information about canceling orders?,cancel_order,ORDER,BIM,Saan ako makakakuha ng impormasyon tungkol sa pagkansela ng mga utos?,0.769209623336792,False,
I want assistance cancelling an order I have made,cancel_order,ORDER,B,Nais ko ng tulong upang kanselahin ang isang utos na ginawa ko,0.7739775776863098,False,
cancel order,cancel_order,ORDER,BK,kinansela ang order,0.7343456745147705,False,
find information about order cancelations,cancel_order,ORDER,BM,hinggil sa pagkansela ng order,0.7887659072875977,False,
can you give me information about cancelling orders?,cancel_order,ORDER,BIM,Makapagbibigay ka ba sa akin ng impormasyon tungkol sa pagkansela ng mga utos?,0.763076663017273,False,
I have a question about cancelling my last order,cancel_order,ORDER,B,May tanong ako tungkol sa pagpapawalang - bisa sa aking huling utos,0.4131127893924713,True,
I don't know how to cancel my last order,cancel_order,ORDER,B,Hindi ko alam kung paano kanselahin ang aking huling order,0.9212517738342284,False,
I have problems with canceling my last order,cancel_order,ORDER,BM,May problema ako sa pagpapawalang - bisa sa aking huling utos,0.3532350361347198,True,
problem with cancelling an order I have made,cancel_order,ORDER,B,problema sa pagkansela ng isang utos na ginawa ko,0.6647461652755737,True,
I need help with canceling the last order I made,cancel_order,ORDER,B,Kailangan ko ng tulong sa pagkansela sa huling utos na ginawa ko,0.5794769525527954,True,
how can I find information about cancelling orders?,cancel_order,ORDER,BIM,paano ako makasusumpong ng impormasyon tungkol sa pagkansela ng mga order?,0.9024667739868164,False,
I want to know more about order cancelations,cancel_order,ORDER,BM,Gusto kong malaman ang higit pa tungkol sa mga pagkansela ng order,0.9388918876647948,False,
I want help to cancel an order I have made,cancel_order,ORDER,B,Nais ko ng tulong upang kanselahin ang isang utos na ginawa ko,0.7338532209396362,False,
I want assistance canceling an order,cancel_order,ORDER,B,Nais ko ng tulong upang kanselahin ang isang utos,0.784122109413147,False,
can you help me to cancel the last order I have made?,cancel_order,ORDER,BI,Matutulungan mo ba akong kanselahin ang huling utos na ginawa ko?,0.6498652100563049,True,
give me information about cancelling orders,cancel_order,ORDER,BM,bigyan ako ng impormasyon tungkol sa pagkansela ng mga order,0.9421472549438475,False,
help cancelling my order,cancel_order,ORDER,B,ay nagkansela ng aking utos,0.4101005792617798,True,
I have a question about canceling my order,cancel_order,ORDER,B,May tanong ako tungkol sa pagpapawalang - bisa sa aking utos,0.3580892384052276,True,
help me canceling my last order,cancel_order,ORDER,B,ay tumutulong sa akin na kanselahin ang aking huling utos,0.6537734270095825,True,
would it be possible to cancel my order?,cancel_order,ORDER,BIP,Posible kayang kanselahin ang aking utos?,0.7236998081207275,False,
where could I get information about cancelling an order?,cancel_order,ORDER,BIP,Saan ako makakakuha ng impormasyon tungkol sa pagkansela ng isang utos?,0.8102747797966003,False,
could you help me cancelling an order I made?,cancel_order,ORDER,BIP,Matutulungan mo ba akong kanselahin ang utos na ginawa ko?,0.6803547143936157,True,
where can I get information about canceling an order?,cancel_order,ORDER,BI,Saan ako makakakuha ng impormasyon tungkol sa pagkansela ng isang utos?,0.799099326133728,False,
I have to cancel my last order,cancel_order,ORDER,B,Kailangan kong kanselahin ang aking huling order,0.9628000259399414,False,
question about canceling my order,cancel_order,ORDER,B,tungkol sa pagkansela sa aking utos,0.6393011808395386,True,
assistance cancelling my order,cancel_order,ORDER,B,sa pagkansela ng aking utos,0.5836998224258423,True,
I have problems with canceling the order I have made,cancel_order,ORDER,BM,May problema ako sa pagpapawalang - bisa sa utos na ginawa ko,0.3629026710987091,True,
help canceling the last order,cancel_order,ORDER,B,ay tumutulong sa pagkansela ng huling order,0.8073504567146301,False,
help canceling an order,cancel_order,ORDER,B,ay tumutulong sa pagkansela ng isang utos,0.5643684267997742,True,
I try to cancel the order I made,cancel_order,ORDER,B,Sinisikap kong kanselahin ang utos na ginawa ko,0.7565827369689941,False,
I need to cancel my order,cancel_order,ORDER,B,Kailangan kong kanselahin ang utos ko,0.7497386932373047,False,
could you help me cancelling the last order I made?,cancel_order,ORDER,BIP,Matutulungan mo ba akong kanselahin ang huling utos na ginawa ko?,0.7037438154220581,False,
where could I cancel the order I made?,cancel_order,ORDER,BIP,Saan ko maaaring kanselahin ang utos na ginawa ko?,0.6976431608200073,True,
I don't know how I could cancel an order I have made,cancel_order,ORDER,BP,Hindi ko alam kung paano ko maaaring kanselahin ang isang utos na ginawa ko,0.7462193965911865,False,
I have problems with cancelling the last order I made,cancel_order,ORDER,BM,May problema ako sa pagpapawalang - bisa sa huling utos na ginawa ko,0.376691609621048,True,
help me to cancel an order I have made,cancel_order,ORDER,B,ay tumutulong sa akin na kanselahin ang isang utos na ginawa ko,0.5379377007484436,True,
I am trying to find information about order cancelations,cancel_order,ORDER,BEM,Sinisikap kong hanapin ang impormasyon tungkol sa mga pagkansela ng order,0.9389315843582152,False,
where can I cancel my order?,cancel_order,ORDER,BI,saan ko maaaring kanselahin ang aking utos?,0.713250994682312,False,
I need assistance canceling the order I made,cancel_order,ORDER,B,Kailangan ko ng tulong upang mapawalang - bisa ang utos na ginawa ko,0.3694374561309814,True,
would it be possible to cancel the last order I have made?,cancel_order,ORDER,BIP,Posible kayang kanselahin ang huling utos na ginawa ko?,0.6643862128257751,True,
I have a question about canceling the last order,cancel_order,ORDER,B,May tanong ako tungkol sa pagkansela sa huling order,0.8338236212730408,False,
I need help to cancel the order I made,cancel_order,ORDER,B,Kailangan ko ng tulong upang kanselahin ang utos na ginawa ko,0.702268123626709,False,
I do not know how I could cancel an order,cancel_order,ORDER,BEP,Hindi ko alam kung paano ko maaaring kanselahin ang isang utos,0.7821656465530396,False,
cancel an order I have made,cancel_order,ORDER,B,kanselahin ang utos na ginawa ko,0.6586160659790039,True,
help with cancelling the order I have made,cancel_order,ORDER,B,sa pagkansela sa utos na ginawa ko,0.4216465353965759,True,
I can't pay for the order I have made,cancel_order,ORDER,B,Hindi ko mabayaran ang utos na ginawa ko,0.4561432600021362,True,
I can't pay for the order,cancel_order,ORDER,B,Hindi ko mabayaran ang utos,0.6632617712020874,True,
I need help cancelling an order I made,cancel_order,ORDER,B,Kailangan ko ng tulong upang kanselahin ang isang utos na ginawa ko,0.7147550582885742,False,
would you give me information about canceling orders?,cancel_order,ORDER,BIMP,Bibigyan mo ba ako ng impormasyon tungkol sa pagkansela ng mga utos?,0.74599289894104,False,
help me canceling the last order I have made,cancel_order,ORDER,B,ay tumutulong sa akin na kanselahin ang huling utos na ginawa ko,0.5577811598777771,True,
I am looking for information about order cancelations,cancel_order,ORDER,BEM,Hinahanap ko ang impormasyon tungkol sa mga pagkansela ng order,0.9435807466506958,False,
I don't know how I can cancel the last order I have made,cancel_order,ORDER,B,Hindi ko alam kung paano ko maaaring kanselahin ang huling utos na ginawa ko,0.7191430926322937,False,
how could I cancel the last order I have made?,cancel_order,ORDER,BIP,paano ko maaaring kanselahin ang huling utos na ginawa ko?,0.705044150352478,False,
is it possible to cancel my order?,cancel_order,ORDER,BI,Posible kayang kanselahin ang aking utos?,0.6905202865600586,True,
help cancelling the last order I have made,cancel_order,ORDER,B,ay nagpapawalang - bisa sa huling utos na ginawa ko,0.2784986793994903,True,
I have a question about canceling orders,cancel_order,ORDER,BM,May tanong ako tungkol sa pagkansela ng mga order,0.879492461681366,False,
how to cancel the last order I have made?,cancel_order,ORDER,BI,kung paano kanselahin ang huling utos na ginawa ko?,0.674441397190094,True,
I don't want an order I have made,cancel_order,ORDER,B,Ayaw ko ng utos na ginawa ko,0.4762933254241943,True,
I have a question about cancelling my order,cancel_order,ORDER,B,May tanong ako tungkol sa pagpapawalang - bisa sa aking utos,0.3560624122619629,True,
how could I cancel an order I made?,cancel_order,ORDER,BIP,Paano ko makansela ang utos na ginawa ko?,0.3764993548393249,True,
I want help cancelling an order I have made,cancel_order,ORDER,B,Nais ko ng tulong upang kanselahin ang isang utos na ginawa ko,0.7499006986618042,False,
I have problems with cancelling the order I have made,cancel_order,ORDER,BM,May problema ako sa pagpapawalang - bisa sa utos na ginawa ko,0.3623386025428772,True,
how do I cancel my order?,cancel_order,ORDER,BI,paano ko pinawawalang - bisa ang aking utos?,0.1966706663370132,True,
could you help me to cancel my last order?,cancel_order,ORDER,BIP,Matutulungan mo ba akong kanselahin ang aking huling utos?,0.6950672268867493,True,
can you help me cancel my last order?,cancel_order,ORDER,BI,Matutulungan mo ba akong kanselahin ang aking huling utos?,0.678452730178833,True,
I do not want to pay for an order I made,cancel_order,ORDER,BE,Ayaw kong magbayad para sa isang utos na ginawa ko,0.6755645275115967,True,
assistance cancelling the last order,cancel_order,ORDER,B,ang tulong na nagpapawalang - bisa sa huling order,0.6565873622894287,True,
assistance cancelling an order I made,cancel_order,ORDER,B,pagtulong sa pagpapawalang - bisa sa utos na ginawa ko,0.3448339700698852,True,
help with canceling the order I have made,cancel_order,ORDER,B,sa pagkansela sa utos na ginawa ko,0.4166573882102966,True,
would you give me information about order cancelations?,cancel_order,ORDER,BIMP,Bibigyan mo ba ako ng impormasyon tungkol sa mga pagkansela ng order?,0.9236609935760498,False,
where could I cancel the last order?,cancel_order,ORDER,BIP,Saan ko maaaring kanselahin ang huling utos?,0.7942177057266235,False,
I need help to cancel the last order I have made,cancel_order,ORDER,B,Kailangan ko ng tulong upang kanselahin ang huling utos na ginawa ko,0.7330325841903687,False,
will you give me information about canceling an order?,cancel_order,ORDER,BIP,Bibigyan mo ba ako ng impormasyon tungkol sa pagkansela ng isang utos?,0.7924354076385498,False,
how can I cancel an order I made?,cancel_order,ORDER,BI,Paano ko makansela ang utos na ginawa ko?,0.345170259475708,True,
can you help me cancelling the order I made?,cancel_order,ORDER,BI,Matutulungan mo ba akong kanselahin ang utos na ginawa ko?,0.6757304668426514,True,
how can I find information about canceling orders?,cancel_order,ORDER,BIM,paano ako makasusumpong ng impormasyon tungkol sa pagkansela ng mga utos?,0.7674565315246582,False,
I have problems with cancelling an order I have made,cancel_order,ORDER,BM,May problema ako sa pagkansela ng isang utos na ginawa ko,0.5565471649169922,True,
help with canceling the order I made,cancel_order,ORDER,B,sa pagkansela sa utos na ginawa ko,0.4260735511779785,True,
I can't pay for the last order I have made,cancel_order,ORDER,B,Hindi ko mabayaran ang huling order na ginawa ko,0.685019850730896,True,
assistance with cancelling the order I have made,cancel_order,ORDER,B,sa pagkansela sa utos na ginawa ko,0.4691886305809021,True,
help to cancel an order I made,cancel_order,ORDER,B,upang kanselahin ang isang utos na ginawa ko,0.619881272315979,True,
question about canceling my orders,cancel_order,ORDER,BM,tungkol sa pagkansela sa aking mga utos,0.6584676504135132,True,
I have a problem with cancelling my last order,cancel_order,ORDER,B,May problema ako sa pagpapawalang - bisa sa aking huling utos,0.3758960366249084,True,
I need help canceling my order,cancel_order,ORDER,B,Kailangan ko ng tulong upang mapawalang - bisa ang aking utos,0.2552335262298584,True,
where could I cancel an order I made?,cancel_order,ORDER,BIP,Saan ko maaaring kanselahin ang isang utos na ginawa ko?,0.6765778064727783,True,
assistance cancelling the last order I made,cancel_order,ORDER,B,Nakansela ng tulong ang huling utos na ginawa ko,0.64999920129776,True,
could you give me information about cancelling orders?,cancel_order,ORDER,BIMP,Maaari mo ba akong bigyan ng impormasyon tungkol sa pagkansela ng mga utos?,0.7906886339187622,False,
could you help me canceling the order I have made?,cancel_order,ORDER,BIP,Matutulungan mo ba akong kanselahin ang utos na ginawa ko?,0.6933803558349609,True,
assistance cancelling the order I made,cancel_order,ORDER,B,pagtulong sa pagpapawalang - bisa sa utos na ginawa ko,0.3709636926651001,True,
help with canceling an order I made,cancel_order,ORDER,B,sa pagkansela ng isang utos na ginawa ko,0.3876030445098877,True,
will you give me information about order cancelations?,cancel_order,ORDER,BIMP,Bibigyan mo ba ako ng impormasyon tungkol sa mga pagkansela ng order?,0.9543558359146118,False,
how do I cancel the last order I made?,cancel_order,ORDER,BI,paano ko makansela ang huling utos na ginawa ko?,0.3867254257202148,True,
I want help canceling the order I have made,cancel_order,ORDER,B,Nais ko ng tulong upang kanselahin ang utos na ginawa ko,0.772305965423584,False,
problems with cancelling the order I made,cancel_order,ORDER,BM,sa pagpapawalang - bisa sa utos na ginawa ko,0.2517042756080627,True,
I need help to cancel an order,cancel_order,ORDER,B,Kailangan ko ng tulong upang kanselahin ang isang utos,0.7279139757156372,False,
could you help me cancelling the order I made?,cancel_order,ORDER,BIP,Matutulungan mo ba akong kanselahin ang utos na ginawa ko?,0.7072559595108032,False,
I would like information about canceling an order,cancel_order,ORDER,BP,Nais ko ng impormasyon tungkol sa pagkansela ng isang utos,0.779143750667572,False,
I want information about cancelling orders,cancel_order,ORDER,BM,Gusto ko ng impormasyon tungkol sa pagkansela ng mga order,0.9437683820724488,False,
I need assistance to cancel an order,cancel_order,ORDER,B,Kailangan ko ng tulong upang kanselahin ang isang utos,0.7498300075531006,False,
I don't know how I can cancel the last order,cancel_order,ORDER,B,Hindi ko alam kung paano ko maaaring kanselahin ang huling order,0.9074342846870422,False,
I am trying to cancel the last order,cancel_order,ORDER,B,Sinisikap kong kanselahin ang huling order,0.8647096157073975,False,
I have problems with cancelling an order,cancel_order,ORDER,BM,May problema ako sa pagkansela ng isang utos,0.6315632462501526,True,
I need assistance with canceling the last order I have made,cancel_order,ORDER,B,Kailangan ko ng tulong sa pagkansela sa huling utos na ginawa ko,0.6051676273345947,True,
I do not want the order,cancel_order,ORDER,BE,Ayaw ko ng order,0.9123305082321168,False,
I would like to cancel my last order,cancel_order,ORDER,BP,Nais kong kanselahin ang aking huling utos,0.7446885108947754,False,
help to cancel the order I made,cancel_order,ORDER,B,upang kanselahin ang utos na ginawa ko,0.6647780537605286,True,
help me canceling the order I made,cancel_order,ORDER,B,ay tumutulong sa akin na kanselahin ang utos na ginawa ko,0.5803108215332031,True,
I don't know how to cancel an order,cancel_order,ORDER,B,Hindi ko alam kung paano kanselahin ang isang utos,0.7477442026138306,False,
I have got to cancel an order,cancel_order,ORDER,B,Kailangan kong kanselahin ang isang utos,0.7668262124061584,False,
I have problems with canceling an order I have made,cancel_order,ORDER,BM,May problema ako sa pagkansela ng isang utos na ginawa ko,0.5588942170143127,True,
canceling order,cancel_order,ORDER,BK,Kinakansela ang order,0.8575029373168945,False,
I am trying to find information about cancelling an order,cancel_order,ORDER,BE,Sinisikap kong hanapin ang impormasyon tungkol sa pagkansela ng isang utos,0.7517313957214355,False,
I have a problem with canceling the last order I have made,cancel_order,ORDER,B,May problema ako sa pagpapawalang - bisa sa huling utos na ginawa ko,0.4013347625732422,True,
help me canceling my order,cancel_order,ORDER,B,ay tumutulong sa akin na kanselahin ang aking utos,0.611372709274292,True,
can you tell me about order cancellations?,cancel_order,ORDER,BIM,masasabi mo ba sa akin ang tungkol sa mga pagpapawalang - bisa sa pagkakasunud - sunod?,0.4912615418434143,True,
I need help with canceling the order I have made,cancel_order,ORDER,B,Kailangan ko ng tulong sa pagkansela sa utos na ginawa ko,0.4921716451644897,True,
tell me about order cancelations,cancel_order,ORDER,BM,sabihin mo sa akin ang tungkol sa mga pagkansela ng order,0.90615975856781,False,
how could I find information about order cancellations?,cancel_order,ORDER,BIMP,paano ako makasusumpong ng impormasyon tungkol sa mga pagkansela ng pagkakasunud - sunod?,0.8402025699615479,False,
I need help to cancel my order,cancel_order,ORDER,B,Kailangan ko ng tulong upang kanselahin ang aking utos,0.6984075307846069,True,
help me cancelling an order I made,cancel_order,ORDER,B,ay tumutulong sa akin na kanselahin ang isang utos na ginawa ko,0.5773662328720093,True,
I am trying to cancel an order I made,cancel_order,ORDER,B,Sinisikap kong kanselahin ang utos na ginawa ko,0.6620790958404541,True,
I don't know how I can cancel the last order I made,cancel_order,ORDER,B,Hindi ko alam kung paano ko maaaring kanselahin ang huling utos na ginawa ko,0.7272480130195618,False,
could you help me cancelling the last order?,cancel_order,ORDER,BIP,Matutulungan mo ba akong kanselahin ang huling utos?,0.7605084180831909,False,
how could I cancel an order?,cancel_order,ORDER,BIP,paano ko maaaring kanselahin ang isang utos?,0.7842720746994019,False,
help me canceling the last order I made,cancel_order,ORDER,B,ay tumutulong sa akin na kanselahin ang huling utos na ginawa ko,0.5645549297332764,True,
help with cancelling my last order,cancel_order,ORDER,B,sa pagkansela ng aking huling order,0.8300486207008362,False,
I cannot pay for my last order,cancel_order,ORDER,BE,Hindi ko mabayaran ang aking huling utos,0.5858420133590698,True,
I do not know how I could cancel the last order I made,cancel_order,ORDER,BEP,Hindi ko alam kung paano ko maaaring kanselahin ang huling utos na ginawa ko,0.7437544465065002,False,
I want to know more about order cancellations,cancel_order,ORDER,BM,Gusto kong malaman ang higit pa tungkol sa mga pagpapawalang - bisa sa pagkakasunud - sunod,0.6616830825805664,True,
question about cancelling my last order,cancel_order,ORDER,B,tungkol sa pagkansela sa aking huling order,0.8817926049232483,False,
I have problems with cancelling the last order I have made,cancel_order,ORDER,BM,May problema ako sa pagpapawalang - bisa sa huling utos na ginawa ko,0.3784721791744232,True,
how to cancel an order?,cancel_order,ORDER,BI,kung paano kanselahin ang isang utos?,0.7490265965461731,False,
could you help me to cancel an order?,cancel_order,ORDER,BIP,Matutulungan mo ba akong kanselahin ang isang utos?,0.7207672595977783,False,
I don't know how I can cancel an order I have made,cancel_order,ORDER,B,Hindi ko alam kung paano ko maaaring kanselahin ang isang utos na ginawa ko,0.7068636417388916,False,
is it possible to cancel the order I have made?,cancel_order,ORDER,BI,Posible kayang kanselahin ang utos na ginawa ko?,0.6344552636146545,True,
I need help canceling the order I have made,cancel_order,ORDER,B,Kailangan ko ng tulong upang kanselahin ang utos na ginawa ko,0.7088707089424133,False,
I need help with cancelling my order,cancel_order,ORDER,B,Kailangan ko ng tulong sa pagpapawalang - bisa sa aking utos,0.2418745756149292,True,
help me cancel the last order I made,cancel_order,ORDER,B,ay tutulong sa akin na kanselahin ang huling utos na ginawa ko,0.5670144557952881,True,
can you give me information about canceling an order?,cancel_order,ORDER,BI,Makapagbibigay ka ba sa akin ng impormasyon tungkol sa pagkansela ng isang utos?,0.7812422513961792,False,
help to cancel an order I have made,cancel_order,ORDER,B,upang kanselahin ang isang utos na ginawa ko,0.6095845699310303,True,
question about cancelling an order I have made,cancel_order,ORDER,B,tungkol sa pagkansela sa isang utos na ginawa ko,0.4974115192890167,True,
I do not know how I can cancel an order I have made,cancel_order,ORDER,BE,Hindi ko alam kung paano ko maaaring kanselahin ang isang utos na ginawa ko,0.670394778251648,True,
question about cancelling orders,cancel_order,ORDER,BM,tungkol sa pagkansela ng mga utos,0.6607486009597778,True,
I do not know how I can cancel the last order I made,cancel_order,ORDER,BE,Hindi ko alam kung paano ko maaaring kanselahin ang huling utos na ginawa ko,0.69145667552948,True,
I have problems with canceling the last order I have made,cancel_order,ORDER,BM,May problema ako sa pagpapawalang - bisa sa huling utos na ginawa ko,0.3789910674095154,True,
find information about cancelling an order,cancel_order,ORDER,B,hinggil sa pagkansela ng utos,0.6126881241798401,True,
help me cancelling the last order I have made,cancel_order,ORDER,B,ay tumutulong sa akin na kanselahin ang huling utos na ginawa ko,0.5648077726364136,True,
where could I get information about order cancellations?,cancel_order,ORDER,BIMP,Saan ako makakakuha ng impormasyon tungkol sa mga pagpapawalang - bisa sa pagkakasunud - sunod?,0.7464215159416199,False,
question about canceling my last order,cancel_order,ORDER,B,tungkol sa pagkansela sa aking huling order,0.8742229342460632,False,
can you help me canceling the last order?,cancel_order,ORDER,BI,Matutulungan mo ba akong kanselahin ang huling utos?,0.7442889213562012,False,
tell me more about order cancelations,cancel_order,ORDER,BM,sabihin pa sa akin ang tungkol sa mga pagkansela ng order,0.9044189453125,False,
I need assistance with canceling my last order,cancel_order,ORDER,B,Kailangan ko ng tulong sa pagkansela ng aking huling utos,0.648749589920044,True,
I need assistance with cancelling an order,cancel_order,ORDER,B,Kailangan ko ng tulong sa pagkansela ng isang utos,0.5758172273635864,True,
how to cancel the last order I made?,cancel_order,ORDER,BI,kung paano kanselahin ang huling utos na ginawa ko?,0.6769695281982422,True,
I would like to cancel the last order,cancel_order,ORDER,BP,Nais kong kanselahin ang huling order,0.9014009237289428,False,
question about canceling the last order I made,cancel_order,ORDER,B,tungkol sa pagkansela sa huling utos na ginawa ko,0.5723840594291687,True,
I do not want to pay for my last order,cancel_order,ORDER,BE,Ayaw kong bayaran ang aking huling utos,0.7562057971954346,False,
I do not want to pay for the last order I have made,cancel_order,ORDER,BE,Ayaw kong bayaran ang huling utos na ginawa ko,0.6610317230224609,True,
how do I cancel an order I made?,cancel_order,ORDER,BI,Paano ko pinawawalang - bisa ang isang utos na ginawa ko?,0.2467832714319229,True,
I need assistance cancelling an order I made,cancel_order,ORDER,B,Kailangan ko ng tulong upang kanselahin ang isang utos na ginawa ko,0.744928240776062,False,
I have got to cancel the last order I made,cancel_order,ORDER,B,Napawalang - bisa ko ang huling utos na ginawa ko,0.4016587734222412,True,
I have got to cancel my order,cancel_order,ORDER,B,Kinakansela ko ang aking utos,0.4857853651046753,True,
problem with canceling my last order,cancel_order,ORDER,B,problema sa pagkansela ng aking huling order,0.9366897344589232,False,
how to cancel my order?,cancel_order,ORDER,BI,kung paano ko ipakansela ang aking utos?,0.4095926880836487,True,
can you help me canceling the order I made?,cancel_order,ORDER,BI,Matutulungan mo ba akong kanselahin ang utos na ginawa ko?,0.6712640523910522,True,
I want to know about order cancellations,cancel_order,ORDER,BM,Gusto kong malaman ang tungkol sa mga pagkansela ng order,0.9011518359184264,False,
I want to cancel the order I made,cancel_order,ORDER,B,Nais kong kanselahin ang utos na ginawa ko,0.7138466835021973,False,
could you help me canceling an order I have made?,cancel_order,ORDER,BIP,Matutulungan mo ba akong kanselahin ang isang utos na ginawa ko?,0.6532447338104248,True,
could you tell me more about order cancellations?,cancel_order,ORDER,BIMP,Maaari mo bang sabihin sa akin ang higit pa tungkol sa mga pagpapawalang - bisa sa utos?,0.5315517783164978,True,
can you help me canceling my last order?,cancel_order,ORDER,BI,Matutulungan mo ba akong kanselahin ang aking huling utos?,0.6924439072608948,True,
I need help canceling the last order,cancel_order,ORDER,B,Kailangan ko ng tulong upang makansela ang huling order,0.803902268409729,False,
I don't know how I could cancel the order I made,cancel_order,ORDER,BP,Hindi ko alam kung paano ko maaaring kanselahin ang utos na ginawa ko,0.7756093740463257,False,
I have to cancel an order I have made,cancel_order,ORDER,B,Kailangan kong kanselahin ang utos na ginawa ko,0.6710100173950195,True,
question about canceling an order,cancel_order,ORDER,B,tungkol sa pagkansela ng isang utos,0.6711125373840332,True,
help me canceling an order I made,cancel_order,ORDER,B,ay tumutulong sa akin na kanselahin ang isang utos na ginawa ko,0.5729408264160156,True,
question about canceling orders,cancel_order,ORDER,BM,tungkol sa pagkansela ng mga utos,0.651599645614624,True,
I do not know how I could cancel my last order,cancel_order,ORDER,BEP,Hindi ko alam kung paano ko maaaring kanselahin ang aking huling order,0.9594790935516356,False,
I have a problem with cancelling my order,cancel_order,ORDER,B,May problema ako sa pagpapawalang - bisa sa aking utos,0.3205407857894897,True,
how could I get information about order cancelations?,cancel_order,ORDER,BIMP,paano ako makakakuha ng impormasyon tungkol sa mga pagkansela ng order?,0.9691842794418336,False,
can you help me cancel the last order?,cancel_order,ORDER,BI,Matutulungan mo ba akong kanselahin ang huling order?,0.9272785782814026,False,
I need help with cancelling the order I made,cancel_order,ORDER,B,Kailangan ko ng tulong sa pagkansela sa utos na ginawa ko,0.4955824613571167,True,
help me cancel the order I made,cancel_order,ORDER,B,ay tumulong sa akin na kanselahin ang utos na ginawa ko,0.5944694876670837,True,
I can't pay for my last order,cancel_order,ORDER,B,Hindi ko mabayaran ang aking huling utos,0.6166292428970337,True,
I do not know how to cancel the last order I have made,cancel_order,ORDER,BE,Hindi ko alam kung paano kanselahin ang huling utos na ginawa ko,0.6230733394622803,True,
could you help me cancel the order I have made?,cancel_order,ORDER,BIP,Matutulungan mo ba akong kanselahin ang utos na ginawa ko?,0.6828342080116272,True,
I don't want the order I have made,cancel_order,ORDER,B,Ayaw ko ng utos na ginawa ko,0.5273993611335754,True,
help canceling my last order,cancel_order,ORDER,B,ay nagkansela ng aking huling utos,0.4718233942985534,True,
where to cancel an order I made?,cancel_order,ORDER,BI,kung saan ko dapat kanselahin ang utos na ginawa ko?,0.5824345350265503,True,
I have a problem with canceling the last order I made,cancel_order,ORDER,B,May problema ako sa pagpapawalang - bisa sa huling utos na ginawa ko,0.3991629183292389,True,
