utterance,intent,category,tags,tagalog
will you give me information about order cancelations?,cancel_order,ORDER,BIMP,will you give me information about order cancelations?
how do I cancel the last order I made?,cancel_order,ORDER,BI,cancel ko yung order na ginawa ko
I want help canceling the order I have made,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
problems with cancelling the order I made,cancel_order,ORDER,BM,may problem ako sa pag-cancel ng order ko
I need help to cancel an order,cancel_order,ORDER,B,need ko po help ma-cancel order ko
could you help me cancelling the order I made?,cancel_order,ORDER,BIP,pa-help naman i-cancel yung order ko
I would like information about canceling an order,cancel_order,ORDER,BP,i would like information about canceling an order
I want information about cancelling orders,cancel_order,ORDER,BM,cancel ko yung order
I need assistance to cancel an order,cancel_order,ORDER,B,need ko assistance para ma-cancel yung order ko
I don't know how I can cancel the last order,cancel_order,ORDER,B,hindi ko alam paano i-cancel yung order ko
I am trying to cancel the last order,cancel_order,ORDER,B,try ko i-cancel yung order ko
I have problems with cancelling an order,cancel_order,ORDER,BM,may problem ako sa pag-cancel ng order ko
I need assistance with canceling the last order I have made,cancel_order,ORDER,B,need ko assistance para ma-cancel yung order ko
I do not want the order,cancel_order,ORDER,BE,I do not want yung order
I would like to cancel my last order,cancel_order,ORDER,BP,gusto ko po cancel ko last order
help to cancel the order I made,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
help me canceling the order I made,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
I don't know how to cancel an order,cancel_order,ORDER,B,hindi ko alam paano i-cancel yung order ko
I have got to cancel an order,cancel_order,ORDER,B,i have got to cancel an order
I have problems with canceling an order I have made,cancel_order,ORDER,BM,may problem ako sa pag-cancel ng order ko
canceling order,cancel_order,ORDER,BK,canceling order
I am trying to find information about cancelling an order,cancel_order,ORDER,BE,i am trying to find information about cancelling an order
I have a problem with canceling the last order I have made,cancel_order,ORDER,B,may problem ako sa pag-cancel ng order ko
help me canceling my order,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
can you tell me about order cancellations?,cancel_order,ORDER,BIM,can you tell me about order cancellations?
I need help with canceling the order I have made,cancel_order,ORDER,B,need ko po help ma-cancel order ko
tell me about order cancelations,cancel_order,ORDER,BM,tell me about order cancelations
how could I find information about order cancellations?,cancel_order,ORDER,BIMP,how could i find information about order cancellations?
I need help to cancel my order,cancel_order,ORDER,B,i-cancel ko yung order ko
help me cancelling an order I made,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
I am trying to cancel an order I made,cancel_order,ORDER,B,try ko i-cancel yung order ko
I don't know how I can cancel the last order I made,cancel_order,ORDER,B,hindi ko alam paano i-cancel yung order ko
could you help me cancelling the last order?,cancel_order,ORDER,BIP,pa-help naman i-cancel yung order ko
how could I cancel an order?,cancel_order,ORDER,BIP,how could i cancel an order?
help me canceling the last order I made,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
help with cancelling my last order,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
I cannot pay for my last order,cancel_order,ORDER,BE,i cannot pay for yung last order
I do not know how I could cancel the last order I made,cancel_order,ORDER,BEP,cancel ko yung order na ginawa ko
I want to know more about order cancellations,cancel_order,ORDER,BM,gusto ko po know more about order cancellations
question about cancelling my last order,cancel_order,ORDER,B,question about cancelling yung last order
I have problems with cancelling the last order I have made,cancel_order,ORDER,BM,may problem ako sa pag-cancel ng order ko
how to cancel an order?,cancel_order,ORDER,BI,how to cancel an order?
could you help me to cancel an order?,cancel_order,ORDER,BIP,pa-help naman i-cancel yung order ko
I don't know how I can cancel an order I have made,cancel_order,ORDER,B,hindi ko alam paano i-cancel yung order ko
is it possible to cancel the order I have made?,cancel_order,ORDER,BI,pwede ba i-cancel yung order ko?
I need help canceling the order I have made,cancel_order,ORDER,B,need ko po help ma-cancel order ko
I need help with cancelling my order,cancel_order,ORDER,B,need ko po help ma-cancel order ko
help me cancel the last order I made,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
can you give me information about canceling an order?,cancel_order,ORDER,BI,can you give me information about canceling an order?
help to cancel an order I have made,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
question about cancelling an order I have made,cancel_order,ORDER,B,cancel ko yung order na ginawa ko
I do not know how I can cancel an order I have made,cancel_order,ORDER,BE,cancel ko yung order na ginawa ko
question about cancelling orders,cancel_order,ORDER,BM,cancel ko yung order
I do not know how I can cancel the last order I made,cancel_order,ORDER,BE,cancel ko yung order na ginawa ko
I have problems with canceling the last order I have made,cancel_order,ORDER,BM,may problem ako sa pag-cancel ng order ko
find information about cancelling an order,cancel_order,ORDER,B,find information about cancelling an order
help me cancelling the last order I have made,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
where could I get information about order cancellations?,cancel_order,ORDER,BIMP,where could i get information about order cancellations?
question about canceling my last order,cancel_order,ORDER,B,question about canceling yung last order
can you help me canceling the last order?,cancel_order,ORDER,BI,pa-help naman i-cancel yung order ko
tell me more about order cancelations,cancel_order,ORDER,BM,tell me more about order cancelations
I need assistance with canceling my last order,cancel_order,ORDER,B,need ko assistance para ma-cancel yung order ko
I need assistance with cancelling an order,cancel_order,ORDER,B,need ko assistance para ma-cancel yung order ko
how to cancel the last order I made?,cancel_order,ORDER,BI,cancel ko yung order na ginawa ko
I would like to cancel the last order,cancel_order,ORDER,BP,gusto ko po cancel yung last order
question about canceling the last order I made,cancel_order,ORDER,B,cancel ko yung order na ginawa ko
I do not want to pay for my last order,cancel_order,ORDER,BE,i do not want to pay for yung last order
I do not want to pay for the last order I have made,cancel_order,ORDER,BE,i do not want to pay for yung last order i have made
how do I cancel an order I made?,cancel_order,ORDER,BI,Paano ba i-cancel ‘tong order ko? Mali ‘yung napindot eh
I need assistance cancelling an order I made,cancel_order,ORDER,B,need ko assistance para ma-cancel yung order ko
I have got to cancel the last order I made,cancel_order,ORDER,B,cancel ko yung order na ginawa ko
I have got to cancel my order,cancel_order,ORDER,B,i-cancel ko yung order ko
problem with canceling my last order,cancel_order,ORDER,B,may problem ako sa pag-cancel ng order ko
how to cancel my order?,cancel_order,ORDER,BI,i-cancel ko yung order ko
can you help me canceling the order I made?,cancel_order,ORDER,BI,pa-help naman i-cancel yung order ko
I want to know about order cancellations,cancel_order,ORDER,BM,gusto ko po know about order cancellations
I want to cancel the order I made,cancel_order,ORDER,B,gusto ko i-cancel yung order ko
could you help me canceling an order I have made?,cancel_order,ORDER,BIP,pa-help naman i-cancel yung order ko
could you tell me more about order cancellations?,cancel_order,ORDER,BIMP,could you tell me more about order cancellations?
can you help me canceling my last order?,cancel_order,ORDER,BI,pa-help naman i-cancel yung order ko
I need help canceling the last order,cancel_order,ORDER,B,need ko po help ma-cancel order ko
I don't know how I could cancel the order I made,cancel_order,ORDER,BP,hindi ko alam paano i-cancel yung order ko
I have to cancel an order I have made,cancel_order,ORDER,B,cancel ko yung order na ginawa ko
question about canceling an order,cancel_order,ORDER,B,question about canceling an order
help me canceling an order I made,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
question about canceling orders,cancel_order,ORDER,BM,question about canceling orders
I do not know how I could cancel my last order,cancel_order,ORDER,BEP,i do not know how i could cancel yung last order
I have a problem with cancelling my order,cancel_order,ORDER,B,may problem ako sa pag-cancel ng order ko
how could I get information about order cancelations?,cancel_order,ORDER,BIMP,how could i get information about order cancelations?
can you help me cancel the last order?,cancel_order,ORDER,BI,pa-help naman i-cancel yung order ko
I need help with cancelling the order I made,cancel_order,ORDER,B,need ko po help ma-cancel order ko
help me cancel the order I made,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
I can't pay for my last order,cancel_order,ORDER,B,i can't pay for yung last order
I do not know how to cancel the last order I have made,cancel_order,ORDER,BE,cancel ko yung order na ginawa ko
could you help me cancel the order I have made?,cancel_order,ORDER,BIP,pa-help naman i-cancel yung order ko
I don't want the order I have made,cancel_order,ORDER,B,I don't want yung order I have made
help canceling my last order,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
where to cancel an order I made?,cancel_order,ORDER,BI,cancel ko yung order na ginawa ko
I have a problem with canceling the last order I made,cancel_order,ORDER,B,may problem ako sa pag-cancel ng order ko
problems with canceling my orders,cancel_order,ORDER,BM,may problem ako sa pag-cancel ng order ko
I need assistance with cancelling the order I made,cancel_order,ORDER,B,need ko assistance para ma-cancel yung order ko
I want assistance to cancel my order,cancel_order,ORDER,B,i-cancel ko yung order ko
I don't know how to cancel an order I have made,cancel_order,ORDER,B,hindi ko alam paano i-cancel yung order ko
where can I cancel the order I have made?,cancel_order,ORDER,BI,cancel ko yung order na ginawa ko
I need assistance with cancelling the last order,cancel_order,ORDER,B,need ko assistance para ma-cancel yung order ko
assistance canceling my last order,cancel_order,ORDER,B,need ko assistance para ma-cancel yung order ko
order cancellation,cancel_order,ORDER,BK,order cancellation
I have a problem with canceling an order,cancel_order,ORDER,B,may problem ako sa pag-cancel ng order ko
I need assistance cancelling an order,cancel_order,ORDER,B,need ko assistance para ma-cancel yung order ko
I have a problem with canceling the order I have made,cancel_order,ORDER,B,may problem ako sa pag-cancel ng order ko
can you help me to cancel my order?,cancel_order,ORDER,BI,i-cancel ko yung order ko
I need help with cancelling an order,cancel_order,ORDER,B,need ko po help ma-cancel order ko
could you help me cancel an order?,cancel_order,ORDER,BIP,pa-help naman i-cancel yung order ko
can you help me cancelling my order?,cancel_order,ORDER,BI,pa-help naman i-cancel yung order ko
help with cancelling the last order I have made,cancel_order,ORDER,B,pa-help naman i-cancel yung order ko
how can I cancel an order I have made?,cancel_order,ORDER,BI,cancel ko yung order na ginawa ko
problems with canceling the order I made,cancel_order,ORDER,BM,may problem ako sa pag-cancel ng order ko
I don't want to pay for the last order I have made,cancel_order,ORDER,B,i don't want to pay for yung last order i have made
I need assistance with canceling the last order,cancel_order,ORDER,B,need ko assistance para ma-cancel yung order ko
how can I cancel an order?,cancel_order,ORDER,BI,how can i cancel an order?
help to cancel my order,cancel_order,ORDER,B,i-cancel ko yung order ko
I have got to cancel the order I have made,cancel_order,ORDER,B,cancel ko yung order na ginawa ko
I do not know how I could cancel the order I have made,cancel_order,ORDER,BEP,cancel ko yung order na ginawa ko
I need help canceling the last order I have made,cancel_order,ORDER,B,need ko po help ma-cancel order ko
I have a question about canceling the last order I made,cancel_order,ORDER,B,cancel ko yung order na ginawa ko
I am trying to find information about canceling an order,cancel_order,ORDER,BE,i am trying to find information about canceling an order
would you give me information about order cancellations?,cancel_order,ORDER,BIMP,would you give me information about order cancellations?
is it possible to cancel the last order I made?,cancel_order,ORDER,BI,pwede ba i-cancel yung order ko?
I try to cancel the last order I have made,cancel_order,ORDER,B,cancel ko yung order na ginawa ko
problems with adding an item to an order,change_order,ORDER,BM,problems with adding an item to an order
I don't know how I can add an item,change_order,ORDER,B,i don't know how i can add an item
I have a question about changing my orders,change_order,ORDER,BM,i have a question about changing yung orders
how can I change something of an order?,change_order,ORDER,BI,pwede ba i-change yung order ko?
I want help changing the order I made,change_order,ORDER,B,I want help changing yung order I made
adding product to last order,change_order,ORDER,BK,adding product to last order
I need help adding several items,change_order,ORDER,BM,need ko po help adding several items
I am trying to change my last order,change_order,ORDER,B,pwede ba i-change yung order ko?
help me change something of an order,change_order,ORDER,B,pwede ba i-change yung order ko?
is it possible to change an order I have made?,change_order,ORDER,BI,pwede ba i-change yung order na ginawa ko?
I try to change several items of an order,change_order,ORDER,BM,pwede ba i-change yung order ko?
I want assistance to change an order I have made,change_order,ORDER,B,pwede ba i-change yung order ko?
could you help me change my order?,change_order,ORDER,BIP,pwede ba i-change yung order ko?
I have forgotten to include an item,change_order,ORDER,B,i have forgotten to include an item
I have to change my order,change_order,ORDER,B,pwede ba i-change yung order ko?
I have a problem with changing some items of an order,change_order,ORDER,BM,may problem ako sa changing some items of an order
I want to change something of an order,change_order,ORDER,B,pwede ba i-change yung order ko?
I have got to remove something,change_order,ORDER,B,i have got to remove something
question about changing an order,change_order,ORDER,B,question about changing an order
I have to remove several items from an order,change_order,ORDER,BM,i have to remove several items from an order
how can I remove several items from an order?,change_order,ORDER,BIM,how can i remove several items from an order?
I want assistance to change an item of an order,change_order,ORDER,B,pwede ba i-change yung order ko?
I have to add several items to an order,change_order,ORDER,BM,i have to add several items to an order
I want to add some items to an order,change_order,ORDER,BM,gusto ko po add some items to an order
I don't know how I could change some items of an order,change_order,ORDER,BMP,pwede ba i-change yung order ko?
help with changing my order,change_order,ORDER,B,help with changing order ko
I need to add some items to an order,change_order,ORDER,BM,i need to add some items to an order
help me add several items to an order,change_order,ORDER,BM,tulungan mo ako add several items to an order
I do not know how I could add something,change_order,ORDER,BEP,i do not know how i could add something
I want assistance to remove something from an order,change_order,ORDER,B,i want assistance to remove something from an order
problem with adding some items to an order,change_order,ORDER,BM,may problem sa adding some items to an order
I do not know how I can remove several items from an order,change_order,ORDER,BEM,i do not know how i can remove several items from an order
I need help to add an item,change_order,ORDER,B,need ko po help to add an item
can you help me to remove an item?,change_order,ORDER,BI,pwede ba tulungan mo ako to remove an item??
I cannot remove some items from an order,change_order,ORDER,BEM,i cannot remove some items from an order
I have to remove several items,change_order,ORDER,BM,i have to remove several items
problem with removing some items from an order,change_order,ORDER,BM,may problem sa removing some items from an order
could you help me remove some items from an order?,change_order,ORDER,BIMP,could you tulungan mo ako remove some items from an order?
help me remove an item from an order,change_order,ORDER,B,tulungan mo ako remove an item from an order
I do not know how I can add an item,change_order,ORDER,BE,i do not know how i can add an item
I would like to change the last order,change_order,ORDER,BP,pwede ba i-change yung order ko?
how can I remove some items from an order?,change_order,ORDER,BIM,how can i remove some items from an order?
I need help removing some items,change_order,ORDER,BM,need ko po help removing some items
could you help me add something to an order?,change_order,ORDER,BIP,could you tulungan mo ako add something to an order?
could you help me changing my order?,change_order,ORDER,BIP,could you tulungan mo ako changing order ko?
help me change several items of an order,change_order,ORDER,BM,pwede ba i-change yung order ko?
I want help changing some items of an order,change_order,ORDER,BM,i want help changing some items of an order
I have problems with removing something from an order,change_order,ORDER,BM,i have problems with removing something from an order
information about order changes,change_order,ORDER,BM,information about order changes
I don't know how I could add something,change_order,ORDER,BP,i don't know how i could add something
the items I have purchased aren't the ones I wanted,change_order,ORDER,BM,yung items i have purchased aren't yung ones i wanted
I have a problem with removing several items,change_order,ORDER,BM,may problem ako sa removing several items
help me to remove some items from an order,change_order,ORDER,BM,tulungan mo ako to remove some items from an order
I would like to add some items to an order,change_order,ORDER,BMP,gusto ko po add some items to an order
I need help changing my order,change_order,ORDER,B,need ko po help changing ko order
I try to change an item of an order,change_order,ORDER,B,pwede ba i-change yung order ko?
I don't know how I can remove several items from an order,change_order,ORDER,BM,i don't know how i can remove several items from an order
I am trying to change the last order I have made,change_order,ORDER,B,pwede ba i-change yung order ko?
would it be possible to change an order?,change_order,ORDER,BIP,pwede ba i-change yung order ko?
can you help me to remove several items?,change_order,ORDER,BIM,pwede ba tulungan mo ako to remove several items??
I have missed some items in the order,change_order,ORDER,BM,I have missed some items in yung order
how do I remove several items?,change_order,ORDER,BIM,paano ko po remove several items??
will you give me information about order changes?,change_order,ORDER,BIMP,will you give me information about order changes?
I have a problem with changing the order I have made,change_order,ORDER,B,may problem ako sa changing yung order I have made
help to change the last order I have made,change_order,ORDER,B,pwede ba i-change yung order ko?
how to change an order?,change_order,ORDER,BI,pwede ba i-change yung order ko?
help me removing several items,change_order,ORDER,BM,tulungan mo ako removing several items
I would like to remove something,change_order,ORDER,BP,gusto ko po remove something
can you help me to add something to an order?,change_order,ORDER,BI,pwede ba tulungan mo ako to add something to an order??
help to remove some items from an order,change_order,ORDER,BM,help to remove some items from an order
problem with removing something from an order,change_order,ORDER,B,may problem sa removing something from an order
I have problems with adding something,change_order,ORDER,BM,i have problems with adding something
I do not know how I can change an item of an order,change_order,ORDER,BE,pwede ba i-change yung order ko?
I have a question about changing the last order I have made,change_order,ORDER,B,i have a question about changing yung last order i have made
I want assistance to change an order,change_order,ORDER,B,pwede ba i-change yung order ko?
could I add something to an order?,change_order,ORDER,BIP,could i add something to an order?
would it be possible to change something of an order?,change_order,ORDER,BIP,pwede ba i-change yung order ko?
I do not know how I can add several items,change_order,ORDER,BEM,i do not know how i can add several items
I would like to add several items to an order,change_order,ORDER,BMP,gusto ko po add several items to an order
I need assistance removing several items from an order,change_order,ORDER,BM,i need assistance removing several items from an order
information about changing orders,change_order,ORDER,BM,information about changing orders
could you help me to remove an item?,change_order,ORDER,BIP,could you tulungan mo ako to remove an item?
can I change the order I made?,change_order,ORDER,BI,pwede ba i-change yung order ko?
I have got to change several items of an order,change_order,ORDER,BM,pwede ba i-change yung order ko?
I want to remove an item from an order,change_order,ORDER,B,gusto ko po remove an item from an order
I have a problem with changing the last order,change_order,ORDER,B,may problem ako sa changing yung last order
help with changing something of an order,change_order,ORDER,B,help with changing something of an order
can you help me add several items to an order?,change_order,ORDER,BIM,pwede ba tulungan mo ako add several items to an order??
I want help adding several items to an order,change_order,ORDER,BM,i want help adding several items to an order
I want assistance to change the last order I made,change_order,ORDER,B,pwede ba i-change yung order ko?
I need assistance with adding some items,change_order,ORDER,BM,i need assistance with adding some items
question about changing my order,change_order,ORDER,B,question about changing order ko
assistance with changing several items of an order,change_order,ORDER,BM,assistance with changing several items of an order
I need help to add an item to an order,change_order,ORDER,B,need ko po help to add an item to an order
I forgot to include some items in the order,change_order,ORDER,BM,I forgot to include some items in yung order
can you help me to change my last order?,change_order,ORDER,BI,pwede ba i-change yung order ko?
I want help to add something,change_order,ORDER,B,i want help to add something
I missed some items,change_order,ORDER,BM,i missed some items
I am trying to add something to an order,change_order,ORDER,B,i am trying to add something to an order
I don't know how to change some items of an order,change_order,ORDER,BM,pwede ba i-change yung order ko?
can I change the last order?,change_order,ORDER,BI,pwede ba i-change yung order ko?
help changing an order I made,change_order,ORDER,B,help changing an order i made
I try to change my last order,change_order,ORDER,B,pwede ba i-change yung order ko?
I do not know how I could add an item to an order,change_order,ORDER,BEP,i do not know how i could add an item to an order
I have problems with adding some items to an order,change_order,ORDER,BM,i have problems with adding some items to an order
I have problems with changing something of an order,change_order,ORDER,BM,may problem ako sa pag-change ng something sa order ko
